IN,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,,,,,,,,
,,,,,,,,19,POWER STRIP,Update,Pablo,9/24/2024,1
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Andres A,9/24/2024,3
,,,,,,,,14,MOUSE NEW,Update,Pablo,9/23/2024,20
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Pablo,9/23/2024,20
,,,,,,,,49,Pasta Termica,Update,Pablo,9/23/2024,2
,,,,,,,,33,USB FLASH DRIVE 64 GB,Update,Pablo,9/23/2024,3
,,,,,,,,48,Ventiladores,Update,Pablo,9/23/2024,1
,,,,,,,,28,SSD 2.5 256 GB,Update,Pablo,9/23/2024,5
,,,,,,,,6,HEADSET-VARIOS 3.5,Update,Pablo,9/23/2024,7
,,,,,,,,21,MOUSE PAD,Update,Pablo,9/23/2024,15
,,,,,,,,47,XP-PEN para Imac,Update,Andres A,9/22/2024,1
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Andres A,9/22/2024,4
,,,,,,,,9,KEYBOARD USED,Update,Andres A,9/19/2024,4
,,,,,,,,9,KEYBOARD USED,Update,Andres A,9/15/2024,5
,,,,,,,,11,MONITORS USED,Update,Andres A,9/15/2024,1
,,,,,,,,12,MOUSE USED,Update,Andres A,9/15/2024,10
,,,,,,,,14,MOUSE NEW,Update,Andres A,9/15/2024,3
,,,,,,,,1,WYSE,Update,Pablo,7/22/2024,16
,,,,,,,,2,DESKTOP-LENOVO,Update,Pablo,7/22/2024,12
,,,,,,,,3,DESKTOP-HP,Update,Pablo,7/22/2024,8
,,,,,,,,4,HANDPUNCH,Update,Pablo,7/22/2024,3
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,7/22/2024,12
,,,,,,,,6,HEADSET-VARIOS 3.5,Update,Pablo,7/22/2024,15
,,,,,,,,7,KEYBOARD NEW,Update,Pablo,7/22/2024,41
,,,,,,,,8,KEYBOARD COMBO,Update,Pablo,7/22/2024,7
,,,,,,,,9,KEYBOARD USED,Update,Pablo,7/22/2024,15
,,,,,,,,10,MONITORS NEW,Update,Pablo,7/22/2024,6
,,,,,,,,11,MONITORS USED,Update,Pablo,7/22/2024,17
,,,,,,,,12,MOUSE USED,Update,Pablo,7/22/2024,13
,,,,,,,,13,SECURITY WEBCAM,Update,Pablo,7/22/2024,2
,,,,,,,,14,MOUSE NEW,Update,Pablo,7/22/2024,1
,,,,,,,,15,LAPTOPS USED,Update,Pablo,7/22/2024,10
,,,,,,,,16,PHONE,Update,Pablo,7/22/2024,30
,,,,,,,,17,TABLETS,Update,Pablo,7/22/2024,2
,,,,,,,,18,SPEAKERS,Update,Pablo,7/22/2024,4
,,,,,,,,19,POWER STRIP,Update,Pablo,7/22/2024,10
,,,,,,,,20,LAPTOPS NEW,Update,Pablo,7/22/2024,0
,,,,,,,,21,MOUSE PAD,Update,Pablo,7/22/2024,14
,,,,,,,,22,EARPADS,Update,Pablo,7/22/2024,13
,,,,,,,,23,HUB USB WITH RJ45 PORT,Update,Pablo,7/22/2024,14
,,,,,,,,24,CHARGES AC LENOVO,Update,Pablo,7/22/2024,5
,,,,,,,,25,UPS NEW,Update,Pablo,7/22/2024,4
,,,,,,,,26,UPS USED,Update,Pablo,7/22/2024,13
,,,,,,,,27,SSD SATA 512 GB,Update,Pablo,7/22/2024,2
,,,,,,,,28,SSD 2.5 256 GB,Update,Pablo,7/22/2024,4
,,,,,,,,29,DUAL HDMI ADAPTER,Update,Pablo,7/22/2024,10
,,,,,,,,30,WEB CAM,Update,Pablo,7/22/2024,1
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Pablo,7/22/2024,12
,,,,,,,,32,KEYBOARD ERGONOMIC,Update,Pablo,7/22/2024,2
,,,,,,,,33,USB FLASH DRIVE 64 GB,Update,Pablo,7/22/2024,1
,,,,,,,,34,WRISTPAD,Update,Pablo,7/22/2024,9
,,,,,,,,35,MEMORY 4GB DDR4 LAPTOP,Update,Pablo,7/22/2024,8
,,,,,,,,36,MEMORY 8 GB DESKTOP,Update,Pablo,7/22/2024,2
,,,,,,,,37,MEMORY 16 GB DESKTOP,Update,Pablo,7/22/2024,1
,,,,,,,,38,SSD DATA DRIVE 1 TB M2,Update,Pablo,7/22/2024,4
,,,,,,,,39,MEMORY 4GB DDR3 LAPTOP,Update,Pablo,7/22/2024,10
,,,,,,,,40,DISCO MECANICO,Update,Pablo,7/22/2024,34
,,,,,,,,41,HEADSET USADOS,Update,Pablo,7/23/2024,7
,,,,,,,,8,KEYBOARD COMBO,Update,Pablo,7/29/2024,5
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,7/31/2024,20
,,,,,,,,10,MONITORS NEW,Update,Pablo,8/3/2024,18
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Pablo,8/3/2024,15
,,,,,,,,30,WEB CAM,Update,Pablo,8/3/2024,7
,,,,,,,,43,SSD SATA 240 GB,Update,Pablo,8/3/2024,4
,,,,,,,,18,SPEAKERS,Update,Pablo,8/3/2024,5
,,,,,,,,37,MEMORY 16 GB DESKTOP,Update,Pablo,8/3/2024,5
